qs	statistic	pvalue
1	19.84	6.30E-88
2	8.83	5.40E-19
3	11.63	1.46E-31
4	12.21	1.35E-34
5	4.87	5.71E-07
6	4.84	6.53E-07
7	nan	nan
8	7.36	9.50E-14
10	2.59	0.005
12	8.85	4.33E-19
14	nan	nan
24	1.75	0.040
